paper,kind,value,url,context
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933July,https://doi.org/10.1371/journal.pone.0270933July,"…this data-driven analysis show that machine learn- ing algorithms have enormous potential for predicting dengue epidemics. PLOS ONE PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 1 / 17 a1111111111 a1111111111 a1111111111 a1111111111 a1111111111 OPEN ACCESS Citation: Dey SK, Rahman M.M, Howlader A, Siddiqi UR, Uddin KMM, Borhan…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933Editor:,https://doi.org/10.1371/journal.pone.0270933Editor:,"…cidents using hospitalized patients, metrological and socio-economic data in Bangladesh: A machine learning approach. PLoS ONE 17(7): e0270933. https://doi.org/10.1371/journal.pone.0270933Editor: Debotosh Bhattacharjee, Jadavpur University, INDIA Received: March 14, 2022 Accepted: June 21, 2022 Published: July 20, 2022 Copyright: © 2022 Dey et al. This…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.7910/DVN/CHUV1V.Funding:,https://doi.org/10.7910/DVN/CHUV1V.Funding:,…source are credited. Data Availability Statement: The data that support the findings of this study are openly available in Harvard Dataverse at https://doi.org/10.7910/DVN/CHUV1V.Funding: The author(s) received no specific funding for this work. Competing interests: The authors have declared that no competing interests exist. Introduction Dengu…
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g001PLOS,https://doi.org/10.1371/journal.pone.0270933.g001PLOS,"…were left untreated and died due to this deadly virus. In different stages Fig 1. Different symptoms and transmission patterns of dengue fever. https://doi.org/10.1371/journal.pone.0270933.g001PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 2 / 17 of life, the de…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g002Table,https://doi.org/10.1371/journal.pone.0270933.g002Table,"…eters (Rainfall, temperature, and humidity) and the number of dengue patients recorded in different districts of Bangladesh for September 2019. https://doi.org/10.1371/journal.pone.0270933.g002Table 1. Description of the DengueBD dataset that is created and used in this research. DengueBD Dataset Attributes Description District Highest affected Major citie…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.t001PLOS,https://doi.org/10.1371/journal.pone.0270933.t001PLOS,"…The maximum temperature recorded in a particular month Humidity Average humidity recorded in a month Patients Total number of patients admitted https://doi.org/10.1371/journal.pone.0270933.t001PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 6 / 17 train_test_spli…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g003PLOS,https://doi.org/10.1371/journal.pone.0270933.g003PLOS,"…le. Therefore, this study utilized a multiple Fig 3. Stepwise workflow diagram for predicting the dengue cases based on the proposed algorithm. https://doi.org/10.1371/journal.pone.0270933.g003PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 7 / 17 linear regressi…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.t002PLOS,https://doi.org/10.1371/journal.pone.0270933.t002PLOS,"…hreaded i.e. (1 core, 2 threads) Xeon Processors @2.3Ghz Cache 46 MB GPU NVidia K80 GPU GPU Memory 16 GB Session Limit 9 hours Disk Space 100GB https://doi.org/10.1371/journal.pone.0270933.t002PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 9 / 17 patients, this…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g004PLOS,https://doi.org/10.1371/journal.pone.0270933.g004PLOS,"…(B) contains the MLR model results. Both models produced the outcome for the same cities of Bangladesh for the specific month of the year 2021. https://doi.org/10.1371/journal.pone.0270933.g004PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 10 / 17 the summer sea…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g005PLOS,https://doi.org/10.1371/journal.pone.0270933.g005PLOS,"…le Fig 5. Predicting the dengue patients in 11 different cities of Bangladesh from Aug 2021 to May 2022 using Multiple Linear Regression (MLR). https://doi.org/10.1371/journal.pone.0270933.g005PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 11 / 17 aware of the s…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g006PLOS,https://doi.org/10.1371/journal.pone.0270933.g006PLOS,"…re- Fig 6. Predicting the dengue patients in 11 different cities of Bangladesh from Aug 2021 to May 2022 using Support Vector Regression (SVR). https://doi.org/10.1371/journal.pone.0270933.g006PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 12 / 17 inspired optim…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.g007PLOS,https://doi.org/10.1371/journal.pone.0270933.g007PLOS,"…ue dataset named Fig 7. Month-wise dengue patients prediction trend using Multiple Linear Regression (MLR) and Support Vector Regression (SVR). https://doi.org/10.1371/journal.pone.0270933.g007PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 13 / 17 Table 3. Compa…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0270933.t003PLOS,https://doi.org/10.1371/journal.pone.0270933.t003PLOS,"…te error (MAE) Accuracy: 75% (SVR), 67% (MLR). Successfully estimated the dengue cases for the next 10 months in 11 different cities Bangladesh https://doi.org/10.1371/journal.pone.0270933.t003PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 15 / 17 Resources: Arp…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pone.0220106,https://doi.org/10.1371/journal.pone.0220106,"…engue2.Stolerman LM, Maia PD, Kutz JN. Forecasting dengue fever in Brazil: An assessment of climate condi- tions. PLOS ONE. 2019; 14: e0220106. https://doi.org/10.1371/journal.pone.0220106 PMID: 31393908 3. Beltz LA. Chapter 2—Dengue Virus. In: Beltz LA, editor. Zika and Other Neglected and Emerging Flavi- viruses. Elsevier; 2021. pp. 19–39. http…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1016/B978-0-323-82501-6.00002,https://doi.org/10.1016/B978-0-323-82501-6.00002,"…908 3. Beltz LA. Chapter 2—Dengue Virus. In: Beltz LA, editor. Zika and Other Neglected and Emerging Flavi- viruses. Elsevier; 2021. pp. 19–39. https://doi.org/10.1016/B978-0-323-82501-6.00002–54.Hossain MS, Siddiqee MH, Siddiqi UR, Raheem E, Akter R, Hu W. Dengue in a crowded megacity: Les- sons learnt from 2019 outbreak in Dhaka, Bangladesh. PLOS N…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pntd.0008349,https://doi.org/10.1371/journal.pntd.0008349,"…. Dengue in a crowded megacity: Les- sons learnt from 2019 outbreak in Dhaka, Bangladesh. PLOS Neglected Tropical Diseases. 2020; 14: e0008349. https://doi.org/10.1371/journal.pntd.0008349 PMID: 32817678 5. Benedum CM, Seidahmed OME, Eltahir EAB, Markuzon N. Statistical modeling of the effect of rainfall flushing on dengue transmission in Singapo…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pntd.0006935,https://doi.org/10.1371/journal.pntd.0006935,"…tistical modeling of the effect of rainfall flushing on dengue transmission in Singapore. PLOS Neglected Tropical Diseases. 2018; 12: e0006935. https://doi.org/10.1371/journal.pntd.0006935 PMID: 30521523 6. Karim MdN Munshi SU, Anwar N Alam MdS. Climatic factors influencing dengue cases in Dhaka city: A model for dengue prediction. Indian J Med R…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1155/2019/3516284,https://doi.org/10.1155/2019/3516284,…miological Shift in terms of Morbidity and Mortality. Canadian Journal of Infec- tious Diseases and Medical Microbiology. 2019; 2019: e3516284. https://doi.org/10.1155/2019/3516284 PMID: 30962860 8. CDC. Aedes aegypti and Ae. albopictus Mosquito Life Cycles | CDC. In: Centers for Disease Control and Prevention [Internet]. 5 Mar 2020 [cite…
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1038/nature12060,https://doi.org/10.1038/nature12060,"…hatt S, Gething PW, Brady OJ, Messina JP, Farlow AW, Moyes CL, et al. The global distribution and burden of dengue. Nature. 2013; 496: 504–507. https://doi.org/10.1038/nature12060 PMID: 23563266 10. Lambrechts L, Paaijmans KP, Fansiri T, Carrington LB, Kramer LD, Thomas MB, et al. Impact of daily temperature fluctuations on dengue virus…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1073/pnas.1101377108,https://doi.org/10.1073/pnas.1101377108,"…amer LD, Thomas MB, et al. Impact of daily temperature fluctuations on dengue virus transmission by Aedes aegypti. PNAS. 2011; 108: 7460– 7465. https://doi.org/10.1073/pnas.1101377108 PMID: 21502510 11. Liu Z, Zhang Z, Lai Z, Zhou T, Jia Z, Gu J, et al. Temperature Increase Enhances Aedes albopictus Competence to Transmit Dengue Virus. Front…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.3389/fmicb.2017.02337,https://doi.org/10.3389/fmicb.2017.02337,"…a Z, Gu J, et al. Temperature Increase Enhances Aedes albopictus Competence to Transmit Dengue Virus. Frontiers in Microbiology. 2017; 8: 2337. https://doi.org/10.3389/fmicb.2017.02337 PMID: 29250045 12. Igarashi A. Impact of dengue virus infection and its control. FEMS Immunology & Medical Microbiology. 1997; 18: 291–300. https://doi.org/10.…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1111/j.1574-695X.1997.tb01058.x,https://doi.org/10.1111/j.1574-695X.1997.tb01058.x,…337 PMID: 29250045 12. Igarashi A. Impact of dengue virus infection and its control. FEMS Immunology & Medical Microbiology. 1997; 18: 291–300. https://doi.org/10.1111/j.1574-695X.1997.tb01058.x PMID: 9348165 13. Benelli G. Plant-borne ovicides in the fight against mosquito vectors of medical and veterinary impor- tance: a systematic review. Parasitol…
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1007/s00436-015-4656-z,https://doi.org/10.1007/s00436-015-4656-z,"…vicides in the fight against mosquito vectors of medical and veterinary impor- tance: a systematic review. Parasitol Res. 2015; 114: 3201–3212. https://doi.org/10.1007/s00436-015-4656-z PMID: 26239801 14. Althouse BM, Ng YY, Cummings DAT. Prediction of Dengue Incidence Using Search Query Surveil- lance. PLOS Neglected Tropical Diseases. 2011;…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pntd.0001258,https://doi.org/10.1371/journal.pntd.0001258,"…se BM, Ng YY, Cummings DAT. Prediction of Dengue Incidence Using Search Query Surveil- lance. PLOS Neglected Tropical Diseases. 2011; 5: e1258. https://doi.org/10.1371/journal.pntd.0001258 PMID: 21829744 15. Uno N, Ross TM. Dengue virus and the host innate immune response. Emerging Microbes & Infections. 2018; 7: 1–11. https://doi.org/10.1038/s41…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1038/s41426-018-0168-0,https://doi.org/10.1038/s41426-018-0168-0,"…ntd.0001258 PMID: 21829744 15. Uno N, Ross TM. Dengue virus and the host innate immune response. Emerging Microbes & Infections. 2018; 7: 1–11. https://doi.org/10.1038/s41426-018-0168-0 PMID: 30301880 PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 16…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1088/1748-9326/ac2b6017.Hossain,https://doi.org/10.1088/1748-9326/ac2b6017.Hossain,"…risk in a changing climate: Bangladesh is likely to experience a longer dengue fever season in the future. Environ Res Lett. 2021; 16: 114003. https://doi.org/10.1088/1748-9326/ac2b6017.Hossain MP, Zhou W, Ren C, Marshall J, Yuan H-Y. Prediction of dengue annual incidence using sea- sonal climate variability in Bangladesh between 2000 and 2018. PLOS G…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pgph.000004718.Dourjoy,https://doi.org/10.1371/journal.pgph.000004718.Dourjoy,"…dengue annual incidence using sea- sonal climate variability in Bangladesh between 2000 and 2018. PLOS Global Public Health. 2022; 2: e0000047. https://doi.org/10.1371/journal.pgph.000004718.Dourjoy SMK, Rafi AMGR, Tumpa ZN, Saifuzzaman Mohd. A Comparative Study on Prediction of Den- gue Fever Using Machine Learning Algorithm. In: Tripathy AK, Sarkar M, Sa…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1007/978-981-15-4218-3_4919.Martheswaran,https://doi.org/10.1007/978-981-15-4218-3_4919.Martheswaran,"…Sarkar M, Sahoo JP, Li K-C, Chinara S, editors. Advances in Distributed Computing and Machine Learning. Singapore: Springer; 2021. pp. 501–510. https://doi.org/10.1007/978-981-15-4218-3_4919.Martheswaran TK, Hamdi H, Al-Barty A, Zaid AA, Das B. Prediction of dengue fever outbreaks using cli- mate variability and Markov chain Monte Carlo techniques in a stochast…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1038/s41598-022-09489-y,https://doi.org/10.1038/s41598-022-09489-y,…sing cli- mate variability and Markov chain Monte Carlo techniques in a stochastic susceptible-infected-removed model. Sci Rep. 2022; 12: 5459. https://doi.org/10.1038/s41598-022-09489-y PMID: 35361845 20. Dey SK. DengueBD. Harvard Dataverse; 2022. https://doi.org/10.7910/DVN/CHUV1V21.Ltd CHW-A-C. Bangladesh weather averages | Best time to go |…
2022-dey-prediction-of-dengue-incidents-using,DOI,10.7910/DVN/CHUV1V21.Ltd,https://doi.org/10.7910/DVN/CHUV1V21.Ltd,…emoved model. Sci Rep. 2022; 12: 5459. https://doi.org/10.1038/s41598-022-09489-y PMID: 35361845 20. Dey SK. DengueBD. Harvard Dataverse; 2022. https://doi.org/10.7910/DVN/CHUV1V21.Ltd CHW-A-C. Bangladesh weather averages | Best time to go | Weather-2-Visit. [cited 9 Nov 2021]. Available: https://www.weather2visit.com/asia/bangladesh/22.Aljam…
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1155/2021/558718823.Smola,https://doi.org/10.1155/2021/558718823.Smola,"…S. Machine Learning-Based Model to Predict the Disease Severity and Outcome in COVID-19 Patients. Scientific Programming. 2021; 2021: e5587188. https://doi.org/10.1155/2021/558718823.Smola AJ, Scho¨lkopf B. A tutorial on support vector regression. Statistics and Computing. 2004; 14: 199–222. https://doi.org/10.1023/B:STCO.0000035301.49549.8824.Jo…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1023/B:STCO.0000035301.49549.8824.Jobson,https://doi.org/10.1023/B:STCO.0000035301.49549.8824.Jobson,"…://doi.org/10.1155/2021/558718823.Smola AJ, Scho¨lkopf B. A tutorial on support vector regression. Statistics and Computing. 2004; 14: 199–222. https://doi.org/10.1023/B:STCO.0000035301.49549.8824.Jobson JD. Multiple Linear Regression. In: Jobson JD, editor. Applied Multivariate Data Analysis: Regression and Experimental Design. New York, NY: Springer; 1991. pp…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1007/978-1-4612-0955-3_425.A,https://doi.org/10.1007/978-1-4612-0955-3_425.A,"…sion. In: Jobson JD, editor. Applied Multivariate Data Analysis: Regression and Experimental Design. New York, NY: Springer; 1991. pp. 219–398. https://doi.org/10.1007/978-1-4612-0955-3_425.A Tutorial on Support Vector Machines for Pattern Recognition | SpringerLink. [cited 18 May 2022]. Available: https://link.springer.com/article/10.1023/A:1009715…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1023/A:100971592355526.McGough,https://doi.org/10.1023/A:100971592355526.McGough,"…4612-0955-3_425.A Tutorial on Support Vector Machines for Pattern Recognition | SpringerLink. [cited 18 May 2022]. Available: https://link.springer.com/article/10.1023/A:100971592355526.McGough SF, Clemente L, Kutz JN, Santillana M. A dynamic, ensemble learning approach to forecast dengue fever epidemic years in Brazil using weather and population sus…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1098/rsif.2020.1006,https://doi.org/10.1098/rsif.2020.1006,"…dengue fever epidemic years in Brazil using weather and population susceptibility cycles. Journal of The Royal Society Interface. 18: 20201006. https://doi.org/10.1098/rsif.2020.1006 PMID: 34129785 27. Sarma D, Hossain S, Mittra T, Bhuiya MdAM, Saha I, Chakma R. Dengue Prediction using Machine Learning Algorithms. 2020 IEEE 8th R10 Humanita…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1109/R10-HTC49770.2020.935703528.Salim,https://doi.org/10.1109/R10-HTC49770.2020.935703528.Salim,"…, Chakma R. Dengue Prediction using Machine Learning Algorithms. 2020 IEEE 8th R10 Humanitarian Technology Conference (R10-HTC). 2020. pp. 1–6. https://doi.org/10.1109/R10-HTC49770.2020.935703528.Salim NAM, Wah YB, Reeves C, Smith M, Yaacob WFW, Mudin RN, et al. Prediction of dengue out- break in Selangor Malaysia using machine learning techniques. Sci Rep. 2…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1038/s41598-020-79193-2,https://doi.org/10.1038/s41598-020-79193-2,"…M, Yaacob WFW, Mudin RN, et al. Prediction of dengue out- break in Selangor Malaysia using machine learning techniques. Sci Rep. 2021; 11: 939. https://doi.org/10.1038/s41598-020-79193-2 PMID: 33441678 29. Salami D, Sousa CA, Martins M do RO, Capinha C. Predicting dengue importation into Europe, using machine learning and model-agnostic methods…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1038/s41598-020-66650-1,https://doi.org/10.1038/s41598-020-66650-1,"…tins M do RO, Capinha C. Predicting dengue importation into Europe, using machine learning and model-agnostic methods. Sci Rep. 2020; 10: 9689. https://doi.org/10.1038/s41598-020-66650-1 PMID: 32546771 30. Guo P, Liu T, Zhang Q, Wang L, Xiao J, Zhang Q, et al. Developing a dengue forecast model using machine learning: A case study in China. PLO…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1371/journal.pntd.0005973,https://doi.org/10.1371/journal.pntd.0005973,"…et al. Developing a dengue forecast model using machine learning: A case study in China. PLOS Neglected Tropical Diseases. 2017; 11: e0005973. https://doi.org/10.1371/journal.pntd.0005973 PMID: 29036169 31. Yang X-S, Deb S, Fong S, He X, Zhao Y-X. From Swarm Intelligence to Metaheuristics: Nature-Inspired Optimization Algorithms. Computer. 2016;…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1109/MC.2016.29232.Abualigah,https://doi.org/10.1109/MC.2016.29232.Abualigah,"…, Deb S, Fong S, He X, Zhao Y-X. From Swarm Intelligence to Metaheuristics: Nature-Inspired Optimization Algorithms. Computer. 2016; 49: 52–59. https://doi.org/10.1109/MC.2016.29232.Abualigah L, Yousri D, Abd Elaziz M, Ewees AA, Al-qaness MAA, Gandomi AH. Aquila Optimizer: A novel meta-heuristic optimization algorithm. Computers & Industrial Enginee…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1016/j.cie.2021.10725033.Oyelade,https://doi.org/10.1016/j.cie.2021.10725033.Oyelade,"…qaness MAA, Gandomi AH. Aquila Optimizer: A novel meta-heuristic optimization algorithm. Computers & Industrial Engineering. 2021; 157: 107250. https://doi.org/10.1016/j.cie.2021.10725033.Oyelade ON, Ezugwu AE-S, Mohamed TIA, Abualigah L. Ebola Optimization Search Algorithm: A New Nature-Inspired Metaheuristic Optimization Algorithm. IEEE Access. 2022;…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1109/ACCESS.2022.314782134.Agushaka,https://doi.org/10.1109/ACCESS.2022.314782134.Agushaka,"…ualigah L. Ebola Optimization Search Algorithm: A New Nature-Inspired Metaheuristic Optimization Algorithm. IEEE Access. 2022; 10: 16150–16177. https://doi.org/10.1109/ACCESS.2022.314782134.Agushaka JO, Ezugwu AE, Abualigah L. Dwarf Mongoose Optimization Algorithm. Computer Methods in Applied Mechanics and Engineering. 2022; 391: 114570. https://doi.org/10…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1016/j.cma.2022.11457035.Abualigah,https://doi.org/10.1016/j.cma.2022.11457035.Abualigah,"…ka JO, Ezugwu AE, Abualigah L. Dwarf Mongoose Optimization Algorithm. Computer Methods in Applied Mechanics and Engineering. 2022; 391: 114570. https://doi.org/10.1016/j.cma.2022.11457035.Abualigah L, Elaziz MA, Sumari P, Geem ZW, Gandomi AH. Reptile Search Algorithm (RSA): A nature- inspired meta-heuristic optimizer. Expert Systems with Applications. 202…"
2022-dey-prediction-of-dengue-incidents-using,DOI,10.1016/j.eswa.2021.116158PLOS,https://doi.org/10.1016/j.eswa.2021.116158PLOS,"…, Gandomi AH. Reptile Search Algorithm (RSA): A nature- inspired meta-heuristic optimizer. Expert Systems with Applications. 2022; 191: 116158. https://doi.org/10.1016/j.eswa.2021.116158PLOS ONE Prediction of dengue incidents using machine learning approach PLOS ONE | https://doi.org/10.1371/journal.pone.0270933July 20, 2022 17 / 17"
2022-dey-prediction-of-dengue-incidents-using,url,https://doi.org/10.1016/B978-0-323-82501-6.00002–54.Hossain,https://doi.org/10.1016/B978-0-323-82501-6.00002–54.Hossain,"…ika and Other Neglected and Emerging Flavi- viruses. Elsevier; 2021. pp. 19–39. https://doi.org/10.1016/B978-0-323-82501-6.00002–54.Hossain MS, Siddiqee MH, Siddiqi UR, Raheem E, Akter R, Hu W. Dengue in a crowded megac…"
2022-uddin-feature-fusion-based-vggfusionnet-model,DOI,10.1038/s41598-022-25539-xwww.nature.com/scientificreportsFeature,https://doi.org/10.1038/s41598-022-25539-xwww.nature.com/scientificreportsFeature,"1 Vol.:(0123456789) Scientific Reports | (2022) 12:21796 | https://doi.org/10.1038/s41598-022-25539-xwww.nature.com/scientificreportsFeature fusion based VGGFusionNet model to detect COVID‑19 patients utilizing computed tomography scan images Khandaker Mohammad Mohi Uddin 1, Samrat Kumar Dey 2,…"
2022-uddin-feature-fusion-based-vggfusionnet-model,DOI,10.1038/s41598-022-25539-xwww.nature.com/scientificreports/two,https://doi.org/10.1038/s41598-022-25539-xwww.nature.com/scientificreports/two,"…QLD 4072, Australia. *email: watshara.sho@mahidol.ac.th; m.moni@uq.edu.au 2 Vol:.(1234567890) Scientific Reports | (2022) 12:21796 | https://doi.org/10.1038/s41598-022-25539-xwww.nature.com/scientificreports/two days to three days. Blood samples are also used to detect Coronavirus; here, Antibodies from the blood are helped to detect COVID-19. In recent times, two dif…"
2022-uddin-feature-fusion-based-vggfusionnet-model,DOI,10.1038/s41598-022-25539-xwww.nature.com/scientificreports/505,https://doi.org/10.1038/s41598-022-25539-xwww.nature.com/scientificreports/505,"…et50 are used. The dataset was formed with 1990 CT image slices were 777, 3 Vol.:(0123456789) Scientific Reports | (2022) 12:21796 | https://doi.org/10.1038/s41598-022-25539-xwww.nature.com/scientificreports/505, and 708 CT image slices of COVID-19 positive, bacterial Pneumonia, and normal, respectively. For the training phase, the authors used 60% CT images of the da…"
