Topic,Dataset Name,Source,Link,Link Type,File Format,Columns,Description,File Size
Chemotherapy Response Prediction,TCGA Chemotherapy Response Dataset,Zenodo,https://zenodo.org/records/3719291,page,CSV,"patient_id, cancer_type, drug_name, clinical_response (CR/PR/SD/PD), gene_expression_features, tumor_immunome_features, staging","Chemotherapy response data for TCGA cancer patients cross-referenced with the TCIA immunome database, covering 5 common agents (FOLFOX, 5FU, Oxaliplatin, Carboplatin, Cisplatin) for colorectal and lung cancer, integrating clinical, genomic, and immunological features.",2.0 MB
Chemotherapy Response Prediction,Genomics of Drug Sensitivity in Cancer (GDSC),Kaggle,https://www.kaggle.com/datasets/samiraalipour/genomics-of-drug-sensitivity-in-cancer-gdsc,page,CSV,"cell_line_name, cancer_type, drug_name, IC50, AUC, gene_expression, copy_number_variation, somatic_mutation, drug_SMILES","Large-scale pharmacogenomic profiling of 1,000+ cancer cell lines tested against hundreds of anti-cancer drugs, providing IC50 and AUC drug sensitivity values alongside genomic features, making it the most widely used benchmark for drug response prediction models.",~500 MB
Chemotherapy Response Prediction,Cancer Cell Line Encyclopedia (CCLE),Kaggle,https://www.kaggle.com/datasets/samiraalipour/cancer-cell-line-encyclopedia-ccle,page,CSV,"cell_line_name, tissue_type, drug_name, EC50, ActArea, gene_expression, mutation_data, copy_number_data","Broad Institute pharmacogenomic profiling of ~1,000 cancer cell lines measuring drug activity (EC50, ActArea) for 24 anti-cancer compounds alongside comprehensive genomic characterization, used widely for chemotherapy sensitivity and resistance modelling.",~1.2 GB
Chemotherapy Response Prediction,Breast Cancer Neoadjuvant Chemotherapy Response (GEO Curated),Kaggle,https://www.kaggle.com/datasets/nisargdoshi/breast-cancer-dataset-with-chemotherapy-response,page,CSV,"patient_id, age, tumor_size, grade, hormone_receptor_status, HER2_status, treatment_regimen, pCR_response (0/1), gene_expression_features","Patient-level breast cancer dataset containing clinical variables, biomarkers, and neoadjuvant chemotherapy regimen details labelled with pathological complete response (pCR), suitable for binary treatment-response classification models.",~50 MB
Chemotherapy Response Prediction,NCI-60 Human Tumor Cell Line Drug Sensitivity,Zenodo,https://zenodo.org/records/4302924,page,CSV,"cell_line_name, cancer_type, drug_name, GI50, LC50, TGI, gene_expression, protein_expression, microRNA","The NCI's pioneering panel of 60 genomically characterized human tumor cell lines screened against over 21,000 compounds, providing GI50/LC50 growth inhibition data alongside multi-omics profiles, used as the historical benchmark for cancer drug response prediction.",~800 MB
Adverse Drug Reaction Classification from Clinical Records,ADE Corpus V2 – Drug Adverse Effect Classification,Hugging Face,https://huggingface.co/datasets/ade-benchmark-corpus/ade_corpus_v2,page,JSON,"sentence, ade_label (True/False), drug_entity, adverse_effect_entity, drug_dose",A systematically double-annotated corpus of medical case reports for classifying sentences as ADE-related and extracting drug-adverse effect/dose relations; widely regarded as the standard NLP benchmark for adverse drug reaction detection from clinical text.,~5 MB
Adverse Drug Reaction Classification from Clinical Records,PsyTAR – Psychiatric Treatment Adverse Reactions,Hugging Face,bigbio/psytar · Datasets at Hugging Face,page,JSON,"review_id, drug_name, sentence, label (ADR/WD/SSI/DI/EF/INF/Other), named_entity, patient_demographics, treatment_duration, satisfaction_score","Patient-generated narratives from an online health forum about four psychiatric medications (Zoloft, Lexapro, Cymbalta, Effexor XR), annotated for adverse reactions, withdrawal symptoms, drug effectiveness, and drug indications across 6,009 sentences.",~2 MB
Adverse Drug Reaction Classification from Clinical Records,FDA Adverse Pharmaceutical Events (FAERS),Kaggle,Adverse Pharmaceuticals Events,page,CSV,"primaryid, drug_name, reaction_meddra, outcome, serious, reporter_country, age, sex, weight, indication, route_of_administration","FDA's official Adverse Event Reporting System (FAERS) data published on Kaggle, containing millions of post-market adverse event reports with drug names, MedDRA-coded reactions, patient demographics, and outcome severity indicators.",~4 GB
Adverse Drug Reaction Classification from Clinical Records,SPL-ADR-200db – FDA Drug Labels Annotated for ADRs,Hugging Face,bigbio/spl_adr_200db · Datasets at Hugging Face,page,JSON,"drug_name, spl_section, mention_text, adr_term, umls_cui, meddra_code, normalized_adr","FDA-NLM collaborative pilot dataset of 200 FDA-approved drug Structured Product Labels manually annotated for adverse drug reactions at the mention level, then normalized to UMLS and MedDRA, containing 5,098 distinct ADRs for NLP model training.",~10 MB
Adverse Drug Reaction Classification from Clinical Records,n2c2 2018 Track 2 – ADE Extraction from Clinical Narratives,Hugging Face,bigbio/n2c2_2018_track2 · Datasets at Hugging Face,page,JSON,"doc_id, text (clinical note), medication_entity, ade_entity, severity, relation_type, dosage, route, frequency","Clinical discharge summaries annotated for medication information and adverse drug events (ADE) extraction as part of the 2018 n2c2 NLP shared task, supporting concept extraction, relation classification, and end-to-end ADE detection from raw clinical text.",~50 MB
